MOD;CUTOFF;TONNES;Ag_E;Ag;Au;AgE_oz
E_type;0;2601767.612;212.2463095;136.7019686;0.94430426;17754129.72
E_type;25;2596051.152;212.6747487;136.9790977;0.946195637;17750880.97
E_type;50;2569483.247;214.467022;138.1374749;0.954119339;17717280.06
E_type;75;2498385.737;218.7368522;140.8571126;0.973496744;17570017.25
E_type;100;2382964.828;225.0449084;144.8577906;1.002338973;17241599.87
E_type;125;2188316.528;234.9475148;150.9656845;1.04977288;16529957.39
E_type;150;1902388.891;249.5157201;159.4332073;1.126031411;15261174.27
E_type;175;1608620.279;265.4439006;168.5412199;1.211283509;13728308.43
E_type;200;1349202.411;280.4445162;177.5616917;1.286035306;12165075.23
E_type;225;1085839.938;296.9659573;188.1397621;1.360327439;10367241.52
E_type;250;821425.3013;316.1190084;201.2842949;1.43543392;8348518.71
Kriging Ordinario;0;2602669.472;175.465606;114.2096733;0.765699161;14682559.07
Kriging Ordinario;25;2536585.427;179.7034228;116.9771801;0.784078034;14655363.01
Kriging Ordinario;50;2358460.555;190.2848313;123.8346654;0.830627075;14428577.77
Kriging Ordinario;75;2106044.225;205.5150372;133.6484142;0.898332789;13915596.55
Kriging Ordinario;100;1779405.525;227.2090169;147.6329925;0.994700305;12998440.04
Kriging Ordinario;125;1464577.572;251.9721939;163.5013858;1.105885103;11864671.95
Kriging Ordinario;150;1149906.159;283.1266627;183.417162;1.246368758;10467281.6
Kriging Ordinario;175;893366.7827;317.9338705;206.3099164;1.395299424;9131819.859
Kriging Ordinario;200;696069.0766;355.0183743;230.3701313;1.558103038;7945000.143
Kriging Ordinario;225;568566.3182;387.3306483;251.5276027;1.69753807;7080333.744
Kriging Ordinario;250;476113.4802;416.528902;269.6293856;1.836243954;6375971.358
Recurso Recuperable;0;2,601,768;212.2463095;136.7019686;0.94430426;17754129.72
Recurso Recuperable;25;2,434,041;225.7998581;145.5046133;1.003690559;17670230.62
Recurso Recuperable;50;2,128,584;252.7696506;163.0347939;1.121685708;17298422.63
Recurso Recuperable;75;1,809,383;286.3553234;184.8185254;1.269209973;16658141.88
Recurso Recuperable;100;1,533,708;322.1592558;207.9816892;1.427219583;15885619.9
Recurso Recuperable;125;1,308,170;358.3759677;231.3446367;1.587891637;15072798.54
Recurso Recuperable;150;1,123,623;394.7273927;254.7180173;1.750117192;14259642.82
Recurso Recuperable;175;968,109;432.0628625;278.670435;1.917405344;13448124.98
Recurso Recuperable;200;843,088;468.3668415;301.9083891;2.080730657;12695505.62
Recurso Recuperable;225;738,496;504.6761507;325.0812515;2.24493624;11982609.95
Recurso Recuperable;250;650,637;540.8051659;348.2493123;2.40694817;11312803.74
